angle	SFsq	LP	TF	A	P	Pstar	S
-0.876	153.8258497517005	34221.37307577613	0.999883852636947	1.0	5263520.378024702	-4.469166789475992E-4	1.0
-0.861	153.84553381470528	35424.224016000226	0.9998877959356891	1.0	5449247.157422391	-4.4695632898624334E-4	1.0
-0.846	153.8648843165996	36691.6219681736	0.9998916711493318	1.0	5644940.593343523	-4.469952839027985E-4	1.0
-0.831	153.88390092563517	38028.26918375889	0.9998954782768175	1.0	5851326.752760634	-4.4703354423572544E-4	1.0
-0.816	153.90258331562939	39439.304043888704	0.9998992173171075	1.0	6069199.044710313	-4.470711105141022E-4	1.0
-0.802	153.91971839020172	40828.33763720848	0.9999026456573636	1.0	6283674.428904201	-4.471055466410766E-4	1.0
-0.787	153.9377537192291	42399.612654161174	0.9999062530595323	1.0	6526289.253535249	-4.471417725459824E-4	1.0
-0.772	153.9554539046517	44063.364534541986	0.9999097923715654	1.0	6783183.337396874	-4.4717730589412946E-4	1.0
-0.757	153.9728186423113	45826.99517470087	0.9999132635924972	1.0	7055499.595183698	-4.472121471776482E-4	1.0
-0.742	153.98984763368165	47698.66213068707	0.9999166667213806	1.0	7344497.62176069	-4.472462968792659E-4	1.0
-0.728	154.00543818274204	49550.95669385617	0.9999197815400264	1.0	7630504.641573979	-4.4727754639123775E-4	1.0
-0.713	154.0218172391281	51657.87973402869	0.9999230530216661	1.0	7955828.287299784	-4.473103603683361E-4	1.0
-0.698	154.03785970615743	53902.09038284085	0.9999262564085863	1.0	8302350.345976485	-4.4734248412524964E-4	1.0
-0.683	154.05356530757734	56295.78055118906	0.9999293916999129	1.0	8671953.350561775	-4.473739181076821E-4	1.0
-0.668	154.06893377282756	58852.52620764969	0.9999324588947903	1.0	9066733.544082344	-4.474046627519155E-4	1.0
-0.653	154.08396483705178	61587.480296348054	0.9999354579923816	1.0	9489030.667764734	-4.4743471848480656E-4	1.0
-0.639	154.09768919093287	64315.8154679859	0.9999381957105266	1.0	9910306.004768563	-4.474621493194317E-4	1.0
-0.624	154.1120672167493	67445.20024188732	0.9999410631510608	1.0	1.0393506636489755E7	-4.4749087433238057E-4	1.0
-0.609	154.1261070976398	70808.65679637843	0.9999438624919612	1.0	1.0912849966243034E7	-4.475189116316946E-4	1.0
-0.594	154.13980859129123	74430.12488360042	0.9999465937324639	1.0	1.1472032491825014E7	-4.475462616071252E-4	1.0
-0.579	154.153171461148	78336.68493940675	0.9999492568718236	1.0	1.2075235658837821E7	-4.475729246389823E-4	1.0
-0.565	154.16533775542197	82267.07170220601	0.9999516810255533	1.0	1.2682118078570072E7	-4.47597190686931E-4	1.0
-0.55	154.1780453032937	86815.68590695357	0.9999542125006591	1.0	1.3384459885788865E7	-4.476225266711544E-4	1.0
-0.535	154.1904135667838	91752.23324220302	0.999956675872543	1.0	1.4146701869222187E7	-4.4764717677288444E-4	1.0
-0.52	154.202442332079	97122.11495124026	0.9999590711405327	1.0	1.497585436021151E7	-4.476711413352656E-4	1.0
-0.505	154.21413139117104	102977.57379096765	0.9999613983039749	1.0	1.587998407696254E7	-4.476944206919865E-4	1.0
-0.49	154.2254805418657	109378.96951028278	0.9999636573622342	1.0	1.686841106906388E7	-4.477170151672772E-4	1.0
-0.476	154.2357662362853	115907.78429327489	0.9999657043700564	1.0	1.7876512815928206E7	-4.4773748570678894E-4	1.0
-0.461	154.24645767906702	123573.45828260704	0.9999678317565643	1.0	1.906015505181247E7	-4.4775875696217727E-4	1.0
-0.446	154.2568086539704	132025.51163028018	0.9999698910361341	1.0	2.036522089083211E7	-4.4777934423262036E-4	1.0
-0.431	154.26681898175178	141375.30141061713	0.9999718822082038	1.0	2.1808904795715094E7	-4.4779924780512015E-4	1.0
-0.416	154.27648848902203	151754.61705654036	0.9999738052722298	1.0	2.3411556156074528E7	-4.4781846795720765E-4	1.0
-0.401	154.2858170082539	163320.35001920548	0.9999756602276877	1.0	2.519740032287247E7	-4.4783700495694103E-4	1.0
-0.387	154.29421583652106	175350.71572901777	0.9999773300699377	1.0	2.705498783119498E7	-4.4785369002971155E-4	1.0
-0.372	154.30288465900517	189777.1990136064	0.9999790533474114	1.0	2.9282555865932602E7	-4.478709069930933E-4	1.0
-0.357	154.3112120359218	206060.0979423976	0.9999807085148847	1.0	3.1796770046982303E7	-4.478874415357565E-4	1.0
-0.342	154.3191978228682	224532.14567813944	0.9999822955719061	1.0	3.464900715478136E7	-4.4790329388847886E-4	1.0
-0.327	154.3268418813366	245604.10460777307	0.9999838145180424	1.0	3.7902692333938606E7	-4.4791846427255525E-4	1.0
-0.313	154.33366790381166	268066.6558591811	0.9999851707495829	1.0	4.137109673000486E7	-4.479320081974187E-4	1.0
-0.298	154.34065091642006	295732.66511071863	0.9999865580135158	1.0	4.564295849015766E7	-4.4794586070101073E-4	1.0
-0.283	154.34729182832464	327913.49532606296	0.9999878771654005	1.0	5.061194638984478E7	-4.479590318303662E-4	1.0
-0.268	154.35359052426048	365647.7390829439	0.999989128204877	1.0	5.643842780083537E7	-4.4797152176946425E-4	1.0
-0.253	154.3595468948847	410290.7629655247	0.999990311131604	1.0	6.3331682648231186E7	-4.47983330692793E-4	1.0
-0.238	154.365160836781	463638.1369865324	0.9999914259452585	1.0	7.156896194453268E7	-4.479944587653482E-4	1.0
-0.224	154.3700914829905	523404.2913606793	0.9999924049846066	1.0	8.079735467812459E7	-4.4800423082502126E-4	1.0
-0.209	154.37504312482477	601230.4864398615	0.9999933881121417	1.0	9.281436858985864E7	-4.4801404301863975E-4	1.0
-0.194	154.37965206880875	697798.9951926785	0.9999943031257648	1.0	1.0772535239052936E8	-4.480231747906999E-4	1.0
-0.179	154.38391823487896	819649.075808684	0.9999951500252261	1.0	1.2654002218204999E8	-4.480316262688488E-4	1.0
-0.164	154.3878415489181	976442.1491269877	0.9999959288102946	1.0	1.507501820660145E8	-4.480393975712354E-4	1.0
-0.15	154.39119391974344	1167217.7022313387	0.9999965942218519	1.0	1.80207520862829E8	-4.4804603721309606E-4	1.0
-0.135	154.39445419848005	1441010.0562505836	0.9999972413185081	1.0	2.2248334736694407E8	-4.4805249380871093E-4	1.0
-0.12	154.39737144210753	1823778.9722319092	0.9999978203002008	1.0	2.8158606562956667E8	-4.4805827052033127E-4	1.0
-0.105	154.39994559992593	2382079.371893029	0.9999983311667721	1.0	3.677923116499345E8	-4.48063367428738E-4	1.0
-0.09	154.40217662719473	3242275.543223254	0.9999987739180822	1.0	5.006137873045256E8	-4.4806778460521014E-4	1.0
-0.075	154.4040644851349	4668877.808906827	0.9999991485540108	1.0	7.208930964776069E8	-4.480715221115239E-4	1.0
-0.061	154.40551684184805	7057898.983543041	0.9999994367589092	1.0	1.0897779265634637E9	-4.4807439728348293E-4	1.0
-0.046	154.40674115129704	1.2411363829282423E7	0.9999996797048263	1.0	1.916397628309474E9	-4.48076820900663E-4	1.0
-0.031	154.40762221207177	2.7328250320250597E7	0.9999998545351144	1.0	4.2196895373494387E9	-4.480785649740705E-4	1.0
-0.016	154.40816000885553	1.025876961045337E8	0.9999999612497259	1.0	1.584037678122972E10	-4.480796295281003E-4	1.0
-0.001	154.40835453229883	2.6262450797760612E10	0.9999999998486317	1.0	4.055141813053855E12	-4.480800145776429E-4	1.0
0.013	154.4082263756056	1.55399114826986E8	0.9999999744187642	1.0	2.399490108695475E10	-4.4807976089805863E-4	1.0
0.028	154.407757232933	3.349802164637851E7	0.9999998813272921	1.0	5.172353780340245E9	-4.480788322458133E-4	1.0
0.043	154.40694482392203	1.4203594638053743E7	0.999999720120136	1.0	2.1931330397653704E9	-4.480772240779288E-4	1.0
0.058	154.40578916269615	7806909.319489627	0.9999994907973401	1.0	1.2054313805882251E9	-4.4807493637191107E-4	1.0
0.073	154.40429026934515	4928211.365315604	0.9999991933589667	1.0	7.60936364355886E8	-4.4807196909576184E-4	1.0
0.088	154.40244816992495	3391326.540647442	0.9999988278050972	1.0	5.236285066242216E8	-4.48068322207979E-4	1.0
0.102	154.40041925715042	2524262.4494538377	0.999998425166259	1.0	3.897465667237437E8	-4.4806430524047355E-4	1.0
0.117	154.39791372205346	1918505.2859328734	0.9999979279227295	1.0	2.962125998361001E8	-4.480593442838519E-4	1.0
0.132	154.39506509172247	1507254.9439945258	0.999997362564049	1.0	2.3271211142294767E8	-4.4805370353903276E-4	1.0
0.147	154.39187341566566	1215345.475459137	0.9999967290903721	1.0	1.8763885105165708E8	-4.4804738292713534E-4	1.0
0.162	154.38833874934926	1000700.7149918148	0.9999960275018713	1.0	1.5449590723573187E8	-4.4804038235977755E-4	1.0
0.176	154.38473032811638	847829.8851682369	0.9999953112313983	1.0	1.308913744635717E8	-4.480332349397735E-4	1.0
0.191	154.38053272671328	719891.6059881265	0.9999944779547976	1.0	1.1113663593301997E8	-4.48024919505925E-4	1.0
0.206	154.37599233209724	618869.6338758612	0.9999935765639875	1.0	9.553800016761497E7	-4.48015923802555E-4	1.0
0.221	154.37110922314264	537710.8748445858	0.9999926070592139	1.0	8.300641052509046E7	-4.480062477039158E-4	1.0
0.236	154.3658834846676	471529.7479790607	0.9999915694407415	1.0	7.278749249164826E7	-4.4799589107476256E-4	1.0
0.251	154.36031520743006	416855.3483060929	0.9999904637088534	1.0	6.434530933897609E7	-4.479848537703542E-4	1.0
0.265	154.35480918780496	373973.4701722104	0.9999893702392529	1.0	5.772399003100701E7	-4.4797393802997504E-4	1.0
0.28	154.34857894837356	334977.90648099815	0.9999881328222996	1.0	5.170275027143679E7	-4.479615843076861E-4	1.0
0.295	154.34200647063093	301778.1987178806	0.9999868272928684	1.0	4.657643915333621E7	-4.4794854943079675E-4	1.0
0.31	154.33509186865805	273280.1932236054	0.9999854536513154	1.0	4.217611020972005E7	-4.4793483321722583E-4	1.0
0.325	154.327835262454	248636.25414637045	0.9999840118980157	1.0	3.837088138280142E7	-4.4792043547540284E-4	1.0
0.339	154.32075397716858	228523.79159591274	0.9999826048100178	1.0	3.5265350362662025E7	-4.479063825158713E-4	1.0
0.354	154.31283652502583	209567.48060536757	0.9999810313751394	1.0	3.233833895016161E7	-4.478906665742782E-4	1.0
0.369	154.30457745473961	192875.5891566961	0.9999793898297209	1.0	2.976097289479682E7	-4.47874268487762E-4	1.0
0.384	154.29597690953406	178101.30982034173	0.9999776801742102	1.0	2.7479702231740657E7	-4.478571880274413E-4	1.0
0.399	154.2870350385234	164961.77371159202	0.999975902409074	1.0	2.5450849641714476E7	-4.4783942495495345E-4	1.0
0.414	154.27775199670572	153224.40945263847	0.9999740565347972	1.0	2.3638504160755083E7	-4.4782097902245634E-4	1.0
0.428	154.26878015429207	143364.17688296404	0.9999722722696694	1.0	2.211600344197574E7	-4.4780314650045633E-4	1.0
0.443	154.25883797692927	133819.75395654194	0.9999702947191657	1.0	2.0642266541154727E7	-4.477833796339384E-4	1.0
0.458	154.248555117298	125197.6571786497	0.9999682490610516	1.0	1.9310944563787237E7	-4.4776292912574107E-4	1.0
0.473	154.23793175347168	117382.76565287275	0.9999661352958854	1.0	1.8104261881566714E7	-4.4774179469075643E-4	1.0
0.488	154.226968069372	110277.37479513862	0.9999639534242439	1.0	1.7007132090329614E7	-4.477199760344079E-4	1.0
0.502	154.2164284203496	104212.08712839952	0.9999618555640614	1.0	1.6070602847707653E7	-4.476989943673502E-4	1.0
0.517	154.20480732694764	98252.55488047794	0.9999595420216056	1.0	1.5150403315234546E7	-4.4767585201255103E-4	1.0
0.532	154.19284648643844	92789.9769219198	0.9999571603744737	1.0	1.4306937736888973E7	-4.4765202451769434E-4	1.0
0.547	154.1805461056678	87770.59735976739	0.9999547106233154	1.0	1.353190575361576E7	-4.476275115509831E-4	1.0
0.562	154.16790639728907	83147.73702418042	0.9999521927687993	1.0	1.2818099711536221E7	-4.4760231277116375E-4	1.0
0.577	154.15492757975287	78880.70426457027	0.9999496068116125	1.0	1.2159236479770545E7	-4.4757642782752914E-4	1.0
0.591	154.14250826263446	75187.70227376229	0.9999471318084507	1.0	1.158900829667789E7	-4.4755164915697874E-4	1.0
0.606	154.12887447500202	71511.49110029209	0.9999444141881176	1.0	1.1021372969297048E7	-4.475244366003855E-4	1.0
0.621	154.11490225235835	68098.44130616171	0.9999416284672363	1.0	1.0494372017098155E7	-4.474965367967262E-4	1.0
0.636	154.10059183586603	64924.02152807643	0.9999387746465669	1.0	1.0004217592579613E7	-4.4746794935813746E-4	1.0
0.651	154.08594347243647	61966.49363859907	0.999935852726888	1.0	9547553.1471935	-4.47438673887317E-4	1.0
0.665	154.07196698612944	59384.74528735855	0.9999330641621179	1.0	9148912.084303953	-4.474107289979076E-4	1.0
0.68	154.05666598007863	56793.62438085993	0.9999300105866313	1.0	8748824.053117773	-4.473801221697896E-4	1.0
0.695	154.0410277844301	54368.45669062948	0.9999268889145267	1.0	8374360.6443148265	-4.473488260895979E-4	1.0
0.71	154.02505266860442	52095.36723380154	0.9999236991466559	1.0	8023379.44456401	-4.473168403229354E-4	1.0
0.725	154.00874090771669	49961.90136014514	0.9999204412838893	1.0	7693957.351759309	-4.4728416442598243E-4	1.0
0.74	153.99209278256512	47956.85378488837	0.9999171153271157	1.0	7384364.176259412	-4.472507979455005E-4	1.0
0.754	153.97625130974205	46192.41029932472	0.9999139496656677	1.0	7111922.140907673	-4.472190324292422E-4	1.0
0.769	153.95895369763872	44407.85076213882	0.9999104920630705	1.0	6836374.274766685	-4.4718432950042076E-4	1.0
0.784	153.94132057761607	42724.7382043258	0.999906966369181	1.0	6576490.728769783	-4.4714893460426894E-4	1.0
0.799	153.92335225270705	41135.52655345373	0.9999033725849612	1.0	6331106.326230855	-4.471128472505366E-4	1.0
0.814	153.90504903156605	39633.35854602695	0.9998997107113919	1.0	6099162.248317758	-4.470760669395734E-4	1.0
0.828	153.8876641514971	38304.352504290946	0.999896231531884	1.0	5893955.663498455	-4.4704111299899955E-4	1.0
0.843	153.8687143603535	36953.253617448776	0.9998924380217549	1.0	5685338.033558999	-4.470029915190085E-4	1.0
0.858	153.84943061066895	35672.39528568667	0.9998885764252596	1.0	5487566.190843102	-4.4696417556195565E-4	1.0
0.873	153.82981323307968	34456.99169908846	0.999884646743452	1.0	5299901.166255043	-4.4692466459125645E-4	1.0
0.888	153.80986256377662	33302.6578106343	0.999880648977404	1.0	5121665.871837813	-4.468844580609465E-4	1.0
0.903	153.7895789444909	32205.36972867672	0.9998765831282065	1.0	4952238.98504049	-4.468435554156865E-4	1.0
0.917	153.77034747787712	31229.435610436136	0.99987272691047	1.0	4801549.979466818	-4.468047510650322E-4	1.0
